年份,月份,进出口,商品编码,商品描述,企业名称,出口最终国或进口原产国,收发货地,报关口岸,贸易方式,运输方式,航次,数量,金额,商品分类
2012,2,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司105,南非,南通其他,哈尔滨海关,一般贸易,公路运输,5,10008,42234,16
2006,3,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司106,新西兰,成都其他,厦门海关,来料加工装配贸易,水路运输,2,35054,42591,16
2006,4,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司107,莫桑比克,保定其他,青岛海关,一般贸易,水路运输,2,34000,42700,16
2010,5,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司108,美国,武汉其他,青岛海关,一般贸易,水路运输,6,8508,42790,16
2007,6,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司109,阿联酋,上海其他,青岛海关,一般贸易,水路运输,6,8164,43200,16
2009,7,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司110,阿根廷,西安其他,青岛海关,进料加工贸易,水路运输,5,8800,43480,16
2012,8,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司111,美国,南通其他,青岛海关,一般贸易,水路运输,9,51025,434935,16
2008,9,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司112,美国,天津其他,大连海关,一般贸易,水路运输,2,24878,43553,16
2010,10,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司113,意大利,河北其他,大连海关,一般贸易,水路运输,2,24000,43800,16
2011,11,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司114,印度尼西亚,江苏其他,厦门海关,一般贸易,水路运输,8,6300,44100,16
2010,12,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司115,中国台湾,株州其他,大连海关,进料加工贸易,水路运输,1,31970,443820,16
2012,1,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司116,荷兰,上海青浦出口加工区,深圳海关,一般贸易,水路运输,4,119175,447009,16
2007,2,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司117,荷兰,上海青浦出口加工区,福州海关,一般贸易,水路运输,5,9640,44794,16
2007,3,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司118,印度,石家庄其他,大连海关,一般贸易,水路运输,1,5000,4500,16
2008,4,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司119,新加坡,成都其他,青岛海关,一般贸易,水路运输,5,10500,45000,16
2010,5,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司120,埃及,河北其他,青岛海关,一般贸易,水路运输,6,8985,45000,16
2011,6,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司121,澳大利亚,河北其他,青岛海关,进料加工贸易,水路运输,6,9000,45000,16
2006,7,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司122,意大利,南京其他,青岛海关,一般贸易,水路运输,3,21540,45050,16
2009,8,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司123,尼日利亚,海淀区其他,石家庄海关,一般贸易,水路运输,7,74899,450750,16
2010,9,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司124,美国,上海浦东新区,哈尔滨海关,一般贸易,公路运输,7,69758,450942,16
2011,10,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司125,哈萨克斯坦,荆州,福州海关,来料加工装配贸易,水路运输,8,6016,45122,16
2009,11,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司126,芬兰,广汉,青岛海关,一般贸易,水路运输,4,14000,45156,16
2011,12,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司127,俄罗斯,南阳,青岛海关,进料加工贸易,水路运输,4,1500,4544,16
2009,1,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司128,澳大利亚,泰州,青岛海关,进料加工贸易,水路运输,3,17000,45725,16
2006,2,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司129,文莱,淄博,青岛海关,进料加工贸易,水路运输,5,11260,45792,16
2012,3,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司130,印度,天津其他,宁波海关,一般贸易,水路运输,3,20640,46000,16
2007,4,出口,1.70E+07,葡萄糖及葡萄糖浆，按重量计干燥状态的果糖含量在20%及以上，但在50%以下,进出口公司131,尼日尔,北京其他,青岛海关,一般贸易,水路运输,1,19600,7252,17
2011,5,出口,1.70E+07,葡萄糖及葡萄糖浆，按重量计干燥状态的果糖含量在20%及以上，但在50%以下,进出口公司132,乌克兰,东营,广州海关,一般贸易,公路运输,2,5351,7557,17
2007,6,出口,1.70E+07,葡萄糖及葡萄糖浆，按重量计干燥状态的果糖含量在20%及以上，但在50%以下,进出口公司133,中国香港,天津港保税区,南京海关,一般贸易,水路运输,1,117740,76909,17
2010,7,出口,1.70E+07,化学纯果糖,进出口公司134,美国,西安其他,深圳海关,一般贸易,水路运输,1,4104,1059,17
2008,8,出口,1.70E+07,化学纯果糖,进出口公司135,阿联酋,沧州,深圳海关,一般贸易,水路运输,1,5580,1080,17
2011,9,出口,1.70E+07,化学纯果糖,进出口公司136,缅甸,永川区,深圳海关,一般贸易,水路运输,1,42300,10911,17
2007,10,出口,1.70E+07,化学纯果糖,进出口公司137,美国,廊坊,深圳海关,一般贸易,水路运输,1,6000,1161,17
2007,11,出口,1.70E+07,化学纯果糖,进出口公司138,美国,南通其他,深圳海关,一般贸易,水路运输,1,4845,1250,17
2007,12,出口,1.70E+07,化学纯果糖,进出口公司139,澳大利亚,宁波其他,深圳海关,一般贸易,水路运输,1,5015,1294,17
2012,1,出口,1.70E+07,化学纯果糖,进出口公司140,利比亚,黑龙江其他,深圳海关,一般贸易,水路运输,1,40929,13195,17
2006,2,出口,1.70E+07,化学纯果糖,进出口公司141,美国,江津区,深圳海关,一般贸易,水路运输,1,5130,1323,17
2008,3,出口,1.70E+07,化学纯果糖,进出口公司142,加拿大,兰州其他,深圳海关,一般贸易,水路运输,1,5160,1331,17
2008,4,出口,1.70E+07,化学纯果糖,进出口公司143,尼日利亚,牡丹江,深圳海关,一般贸易,水路运输,1,3632,1406,17
2006,5,出口,1.70E+07,化学纯果糖,进出口公司144,哈萨克斯坦,上海青浦出口加工区,深圳海关,一般贸易,水路运输,1,6075,1567,17
2007,6,出口,1.70E+07,化学纯果糖,进出口公司145,喀麦隆,北京其他,深圳海关,一般贸易,水路运输,1,19800,15840,17
2008,7,出口,1.70E+07,化学纯果糖,进出口公司146,突尼斯,上海青浦出口加工区,深圳海关,一般贸易,水路运输,1,42060,16278,17
2009,8,出口,1.70E+07,化学纯果糖,进出口公司147,英国,西安其他,深圳海关,一般贸易,水路运输,2,10749,17198,17
2011,9,出口,1.70E+07,化学纯果糖,进出口公司148,美国,苏州其他,深圳海关,一般贸易,水路运输,1,5690,1835,17
2012,10,出口,1.70E+07,化学纯果糖,进出口公司149,美国,郑州高新技术开发区,深圳海关,一般贸易,水路运输,1,48668,18835,17
2008,11,出口,1.70E+07,化学纯果糖,进出口公司150,哈萨克斯坦,牡丹江,深圳海关,一般贸易,水路运输,2,13861,20792,17
2008,12,出口,1.70E+07,化学纯果糖,进出口公司151,法国,厦门特区,深圳海关,一般贸易,水路运输,2,17120,22256,17
2006,1,出口,1.70E+07,化学纯果糖,进出口公司152,科威特,闵行其他,深圳海关,一般贸易,水路运输,1,11680,2260,17
2010,2,出口,1.70E+07,化学纯果糖,进出口公司153,新加坡,宜昌,深圳海关,一般贸易,水路运输,2,19900,23880,17
2009,3,出口,1.70E+07,化学纯果糖,进出口公司154,加拿大,成都其他,深圳海关,一般贸易,水路运输,1,6350,2457,17
2011,4,出口,1.70E+07,化学纯果糖,进出口公司155,阿联酋,天津其他,深圳海关,一般贸易,水路运输,2,15492,24787,17
2012,5,出口,1.70E+07,化学纯果糖,进出口公司15,美国,西安其他,深圳海关,一般贸易,水路运输,2,14156,25481,17
2012,6,出口,1.70E+07,化学纯果糖,进出口公司16,美国,郑州高新技术开发区,深圳海关,一般贸易,水路运输,1,7240,2602,17
2011,7,出口,1.70E+07,化学纯果糖,进出口公司17,阿联酋,常熟,深圳海关,一般贸易,水路运输,2,20145,26189,17
2008,8,出口,1.70E+07,化学纯果糖,进出口公司18,泰国,上海青浦出口加工区,深圳海关,一般贸易,水路运输,2,18251,27377,17
2006,9,出口,1.70E+07,化学纯果糖,进出口公司19,玻利维亚,上海青浦出口加工区,深圳海关,一般贸易,水路运输,1,14168,2741,17
2007,10,出口,1.70E+07,化学纯果糖,进出口公司20,美国,郑州其他,深圳海关,一般贸易,水路运输,1,14564,2817,17
2012,11,出口,1.70E+07,化学纯果糖,进出口公司21,美国,海淀区其他,深圳海关,一般贸易,水路运输,2,16020,28836,17
2006,12,出口,1.70E+07,化学纯果糖,进出口公司22,加拿大,南汇,深圳海关,一般贸易,水路运输,1,12300,3174,17
2009,1,出口,1.70E+07,化学纯果糖,进出口公司23,南非,常州其他,深圳海关,一般贸易,水路运输,1,12970,3347,17
2011,2,出口,1.70E+07,化学纯果糖,进出口公司24,新西兰,成都其他,深圳海关,一般贸易,水路运输,1,17650,3416,17
2006,3,出口,1.70E+07,化学纯果糖,进出口公司25,美国,青岛其他,深圳海关,一般贸易,水路运输,2,19300,34740,17
2011,4,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司26,法国,南京其他,汕头海关,一般贸易,水路运输,2,24480,29376,17
2011,5,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司27,英国,闵行其他,汕头海关,一般贸易,公路运输,5,735,2940,17
2008,6,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司28,加拿大,成都其他,深圳海关,进料加工贸易,水路运输,3,11622,29461,17
2006,7,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司29,法国,上海其他,深圳海关,保税区仓储转口货物,公路运输,2,135,2952,17
2011,8,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司30,挪威,闵行其他,深圳海关,一般贸易,水路运输,2,15648,29841,17
2011,9,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司31,加拿大,山东其他,上海海关,保税区仓储转口货物,水路运输,1,27,300,17
2008,10,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司32,加拿大,宝鸡其他,天津海关,一般贸易,水路运输,3,130258,302631,17
2010,11,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司33,马达加斯加,南京其他,厦门海关,一般贸易,航空运输,4,86,303,17
2006,12,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司34,澳大利亚,山东其他,拱北海关,一般贸易,水路运输,1,6324,3036,17
2012,1,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司35,加拿大,南通其他,南宁海关,边境小额贸易,公路运输,1,10483,3044,17
2009,2,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司36,俄罗斯,江阴,厦门海关,一般贸易,水路运输,5,6303,30466,17
2007,3,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司37,印度,宁波其他,汕头海关,一般贸易,公路运输,1,1218,305,17
2007,4,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司38,沙特阿拉伯,东营,拱北海关,一般贸易,水路运输,2,22500,30501,17
2006,5,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司39,澳大利亚,四川其他,深圳海关,一般贸易,公路运输,5,648,3065,17
2007,6,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司40,俄罗斯,南阳,厦门海关,一般贸易,水路运输,3,13632,30672,17
2008,7,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司41,美国,沈阳其他,深圳海关,进料加工贸易,水路运输,3,14688,30908,17
2007,8,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司42,挪威,天津其他,深圳海关,一般贸易,公路运输,1,4800,3096,17
2007,9,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司43,挪威,广汉,深圳海关,一般贸易,公路运输,1,800,310,17
2011,10,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司44,印度尼西亚,德州,深圳海关,一般贸易,公路运输,1,800,310,17
2007,11,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司45,墨西哥,南京其他,深圳海关,一般贸易,公路运输,1,800,310,17
2008,12,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司46,新西兰,上海其他,深圳海关,一般贸易,公路运输,1,800,310,17
2009,1,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司47,新加坡,济源,深圳海关,一般贸易,公路运输,1,800,310,17
2010,2,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司48,新加坡,潍坊其他,黄埔海关,来料加工装配贸易,公路运输,2,1725,3116,17
2009,3,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司49,马来西亚,南京其他,广州海关,一般贸易,水路运输,2,23896,31172,17
2007,4,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司50,尼日利亚,东营,昆明海关,边境小额贸易,公路运输,2,2800,3121,17
2009,5,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司51,美国,西青区,深圳海关,一般贸易,水路运输,1,2298,31210,17
2009,6,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司52,马来西亚,成都其他,深圳海关,一般贸易,公路运输,2,18251,31362,17
2006,7,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司53,印度,东营,汕头海关,一般贸易,水路运输,1,6274,3137,17
2012,8,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司54,加拿大,江苏其他,深圳海关,一般贸易,公路运输,2,14,3150,17
2008,9,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司55,美国,山西其他,厦门海关,一般贸易,水路运输,4,9676,31680,17
2009,10,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司56,土库曼斯坦,天津其他,厦门海关,一般贸易,水路运输,9,3832,31813,17
2007,11,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司57,新加坡,牡丹江,厦门海关,一般贸易,水路运输,3,11089,31850,17
2011,12,出口,1.70E+07,其他不含可可的糖食（包括白巧克力）,进出口公司58,俄罗斯,南通其他,深圳海关,一般贸易,水路运输,1,19800,3193,17
2008,1,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司59,土耳其,南通其他,上海海关,一般贸易,水路运输,1,57479,42535,19
2010,2,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司60,美国,包头其他,深圳海关,来料加工装配贸易,公路运输,1,6300,4410,19
2010,3,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司61,土耳其,德州,天津海关,一般贸易,水路运输,1,5000,4685,19
2011,4,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司62,美国,天津其他,拱北海关,一般贸易,水路运输,1,816,480,19
2012,5,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司63,法国,成都高新综合保税区,上海海关,一般贸易,水路运输,1,7627,5232,19
2006,6,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司64,卡塔尔,淮安市,深圳海关,进料加工贸易,公路运输,1,915500,549300,19
2010,7,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司65,美国,上海其他,黄埔海关,来料加工装配贸易,公路运输,1,177600,55140,19
2009,8,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司66,加拿大,牡丹江,杭州海关,一般贸易,水路运输,2,5700,5985,19
2010,9,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司67,新加坡,新疆其他,江门海关,一般贸易,水路运输,1,1237,619,19
2010,10,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司68,孟加拉国,承德,江门海关,一般贸易,水路运输,1,18790,7174,19
2010,11,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司69,埃及,牡丹江,深圳海关,一般贸易,公路运输,1,12000,7200,19
2011,12,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司70,阿曼,兰州其他,南昌海关,一般贸易,水路运输,1,16560,7404,19
2012,1,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司71,美国,盐城,上海海关,一般贸易,水路运输,1,11491,7405,19
2010,2,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司72,美国,成都其他,深圳海关,一般贸易,水路运输,1,13000,7579,19
2012,3,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司73,墨西哥,南京其他,江门海关,一般贸易,水路运输,1,9479,8112,19
2010,4,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司74,阿塞拜疆,上海青浦出口加工区,南昌海关,一般贸易,水路运输,1,17940,8316,19
2007,5,出口,1.90E+07,其他未包馅或未制作的生面食,进出口公司75,美国,淄博,拱北海关,一般贸易,水路运输,1,1638,851,19
2007,6,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司76,厄瓜多尔,江苏其他,青岛海关,一般贸易,航空运输,1,5,1,19
2008,7,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司77,日本,宜春,青岛海关,进料加工贸易,水路运输,4,439819,1354928,19
2012,8,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司78,哥伦比亚,闵行其他,天津海关,一般贸易,水路运输,2,8598,10004,19
2011,9,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司79,印度,嘉定,上海海关,一般贸易,水路运输,4,2840,10108,19
2007,10,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司80,哥伦比亚,北京其他,天津海关,一般贸易,水路运输,2,7956,10228,19
2008,11,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司81,美国,昆山,天津海关,一般贸易,水路运输,2,53827,102672,19
2008,12,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司82,特立尼达和多巴哥,东营,青岛海关,一般贸易,水路运输,4,32611,102876,19
2009,1,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司83,阿联酋,西安其他,青岛海关,进料加工贸易,水路运输,2,6120,10302,19
2012,2,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司84,阿根廷,宝鸡其他,福州海关,一般贸易,水路运输,2,94420,105782,19
2008,3,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司85,加蓬,东营,青岛海关,进料加工贸易,水路运输,1,15187,10631,19
2007,4,出口,1.90E+07,包馅面食（不论是否烹煮或经其他方法制作）,进出口公司86,阿尔及利亚,武清县,广州海关,一般贸易,公路运输,2,7291,10937,19
2011,5,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司87,哈萨克斯坦,上海青浦出口加工区,宁波海关,一般贸易,水路运输,7,7420,46448,16
2011,6,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司88,巴基斯坦,天津其他,石家庄海关,一般贸易,水路运输,3,21151,46452,16
2011,7,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司89,美国,天津其他,宁波海关,一般贸易,水路运输,3,20900,46462,16
2006,8,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司90,美国,北京经济技术开发区,青岛海关,一般贸易,水路运输,6,8877,47190,16
2012,9,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司91,挪威,常州其他,青岛海关,一般贸易,航空运输,2,400,472,16
2012,10,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司92,美国,大连其他,大连海关,一般贸易,水路运输,7,6800,47240,16
2012,11,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司93,拉脱维亚,成都其他,青岛海关,一般贸易,水路运输,3,23553,47285,16
2007,12,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司94,美国,佛山其他,宁波海关,一般贸易,水路运输,3,19200,47500,16
2012,1,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司95,阿尔及利亚,南通其他,青岛海关,进料加工贸易,水路运输,6,8976,47520,16
2007,2,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司96,新加坡,浙江其他,大连海关,来料加工装配贸易,水路运输,4,158126,478116,16
2009,3,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司97,美国,郑州高新技术开发区,青岛海关,一般贸易,水路运输,4,1486,4794,16
2009,4,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司98,俄罗斯,四川其他,大连海关,来料加工装配贸易,水路运输,6,9,48,16
2010,5,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司99,美国,宣武区,大连海关,一般贸易,水路运输,5,12000,48100,16
2012,6,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司100,法国,成都其他,厦门海关,一般贸易,水路运输,3,1632,4815,16
2007,7,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司101,澳大利亚,江阴,宁波海关,进料加工贸易,水路运输,1,51500,482225,16
2009,8,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司102,伊拉克,天津其他,青岛海关,一般贸易,水路运输,7,720,4875,16
2011,9,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司103,加拿大,宁波其他,青岛海关,一般贸易,水路运输,6,8984,48999,16
2006,10,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司104,阿联酋,荆州,青岛海关,一般贸易,铁路运输,5,10448,49020,16
2011,11,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司10,阿联酋,南京其他,青岛海关,一般贸易,水路运输,5,11869,49057,16
2011,12,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司11,委内瑞拉,天津港保税区,宁波海关,一般贸易,水路运输,5,11245,49075,16
2011,1,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司12,俄罗斯,牡丹江,青岛海关,进料加工贸易,水路运输,5,10560,49195,16
2010,2,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司13,澳大利亚,东营,上海海关,一般贸易,水路运输,5,10195,49384,16
2012,3,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司14,印度尼西亚,永川区,青岛海关,一般贸易,水路运输,1,400,5002,16
2009,4,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司15,美国,郑州其他,上海海关,一般贸易,航空运输,1,517,5007,16
2010,5,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司16,哈萨克斯坦,乌鲁木齐其他,哈尔滨海关,一般贸易,公路运输,6,10000,50280,16
2009,6,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司17,新加坡,东莞,青岛海关,进料加工贸易,水路运输,4,164036,503433,16
2009,7,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司18,比利时,无锡其他,福州海关,一般贸易,水路运输,6,9500,50350,16
2006,8,出口,1.61E+07,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物：,进出口公司19,哈萨克斯坦,天津其他,深圳海关,一般贸易,公路运输,4,14400,50400,16
2009,9,出口,1.70E+07,化学纯果糖,进出口公司20,加拿大,衡阳,深圳海关,一般贸易,水路运输,1,8140,3674,17
2011,10,出口,1.70E+07,化学纯果糖,进出口公司21,美国,烟台其他,深圳海关,一般贸易,水路运输,1,19070,3690,17
2010,11,出口,1.70E+07,化学纯果糖,进出口公司22,缅甸,牡丹江,深圳海关,一般贸易,水路运输,1,19921,3854,17
2006,12,出口,1.70E+07,化学纯果糖,进出口公司23,巴基斯坦,河北其他,深圳海关,一般贸易,水路运输,1,21200,4103,17
2008,1,出口,1.70E+07,化学纯果糖,进出口公司24,美国,上海其他,青岛海关,一般贸易,水路运输,1,6000,5020,17
2010,2,出口,1.70E+07,化学纯果糖,进出口公司25,爱沙尼亚,天津其他,深圳海关,一般贸易,水路运输,2,34165,51248,17
2010,3,出口,1.70E+07,化学纯果糖,进出口公司26,新加坡,牡丹江,深圳海关,一般贸易,水路运输,1,13742,5317,17
2012,4,出口,1.70E+07,化学纯果糖,进出口公司27,缅甸,成都其他,深圳海关,一般贸易,水路运输,2,5224,5390,17
2008,5,出口,1.70E+07,化学纯果糖,进出口公司28,新加坡,深圳特区,深圳海关,一般贸易,水路运输,1,11006,5503,17
2007,6,出口,1.70E+07,化学纯果糖,进出口公司29,阿根廷,南京其他,深圳海关,一般贸易,水路运输,3,2254,5635,17
2008,7,出口,1.70E+07,化学纯果糖,进出口公司30,哥伦比亚,上海其他,深圳海关,一般贸易,水路运输,1,3010,582,17
2008,8,出口,1.70E+07,化学纯果糖,进出口公司31,印度,河北其他,深圳海关,一般贸易,水路运输,1,23637,6098,17
2006,9,出口,1.70E+07,化学纯果糖,进出口公司32,印度尼西亚,常州其他,深圳海关,一般贸易,水路运输,2,3855,6939,17
2007,10,出口,1.70E+07,化学纯果糖,进出口公司33,苏丹,盘锦,深圳海关,一般贸易,水路运输,1,17952,6948,17
2008,11,出口,1.70E+07,化学纯果糖,进出口公司34,法国,松江,深圳海关,一般贸易,水路运输,1,18240,7059,17
2010,12,出口,1.70E+07,化学纯果糖,进出口公司35,美国,南通其他,深圳海关,一般贸易,水路运输,1,14296,7148,17
2006,1,出口,1.70E+07,化学纯果糖,进出口公司36,土库曼斯坦,成都其他,深圳海关,一般贸易,公路运输,1,11793,7607,17
2006,2,出口,1.70E+07,化学纯果糖,进出口公司37,俄罗斯,山东其他,深圳海关,一般贸易,水路运输,1,12330,7953,17
2009,3,出口,1.70E+07,化学纯果糖,进出口公司38,美国,成都其他,深圳海关,一般贸易,水路运输,1,20710,8015,17
2006,4,出口,1.70E+07,化学纯果糖,进出口公司39,美国,南通其他,深圳海关,一般贸易,水路运输,1,20720,8019,17
2011,5,出口,1.70E+07,化学纯果糖,进出口公司40,美国,南京其他,深圳海关,一般贸易,水路运输,1,21136,8180,17
2006,6,出口,1.70E+07,化学纯果糖,进出口公司41,美国,郑州其他,深圳海关,一般贸易,水路运输,1,3175,819,17
2011,7,出口,1.70E+07,化学纯果糖,进出口公司42,阿曼,沧州,深圳海关,一般贸易,水路运输,1,4400,851,17
